; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	number
1982	4	1	aut	1
1983	4	1	aut	1
1984	4	1	aut	1
1985	4	1	aut	1
1986	4	1	aut	1
1987	4	1	aut	1
1988	4	1	aut	1
1989	4	1	aut	1
1990	4	1	aut	1
1991	4	1	aut	1
1992	4	1	aut	1
1993	4	1	aut	1
1994	4	1	aut	1
1995	4	1	aut	1
1996	4	1	aut	1
1997	4	1	aut	1
1998	4	1	aut	1
1999	4	1	aut	1
2000	4	1	aut	1
2001	4	1	aut	1
2002	4	1	aut	1
2003	4	1	aut	1
2004	4	1	aut	1
2005	4	1	aut	1
2006	4	1	aut	1
2007	4	1	aut	1
2008	4	1	aut	1
2009	4	1	aut	1
2010	4	1	aut	1
2011	4	1	aut	1
2012	4	1	aut	1
2013	4	1	aut	1
2014	4	1	aut	1
2015	4	1	aut	1
2016	4	1	aut	1
2017	4	1	aut	1
2018	4	1	aut	1
