; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1982	1	1	bmt	649737
1982	2	1	bmt	1569260
1982	3	1	bmt	1318220
1982	4	1	bmt	1062660
1983	1	1	bmt	1299990
1983	2	1	bmt	1812410
1983	3	1	bmt	1243350
1983	4	1	bmt	1092650
1984	1	1	bmt	1095760
1984	2	1	bmt	1919600
1984	3	1	bmt	953858
1984	4	1	bmt	1210690
1985	1	1	bmt	585297
1985	2	1	bmt	1693640
1985	3	1	bmt	1542460
1985	4	1	bmt	1126330
1986	1	1	bmt	1604450
1986	2	1	bmt	2776780
1986	3	1	bmt	1463130
1986	4	1	bmt	758014
1987	1	1	bmt	1108510
1987	2	1	bmt	2807470
1987	3	1	bmt	1362250
1987	4	1	bmt	942099
1988	1	1	bmt	1365040
1988	2	1	bmt	2422540
1988	3	1	bmt	1758450
1988	4	1	bmt	1486000
1989	1	1	bmt	1246980
1989	2	1	bmt	3163580
1989	3	1	bmt	1295430
1989	4	1	bmt	1373260
1990	1	1	bmt	1365910
1990	2	1	bmt	1692700
1990	3	1	bmt	1070950
1990	4	1	bmt	1221100
1991	1	1	bmt	2133260
1991	2	1	bmt	2425390
1991	3	1	bmt	1406450
1991	4	1	bmt	937534
1992	1	1	bmt	1811700
1992	2	1	bmt	2465140
1992	3	1	bmt	1426010
1992	4	1	bmt	768908
1993	1	1	bmt	1338760
1993	2	1	bmt	1528950
1993	3	1	bmt	1288630
1993	4	1	bmt	926451
1994	1	1	bmt	656754
1994	2	1	bmt	827032
1994	3	1	bmt	578937
1994	4	1	bmt	472969
1995	1	1	bmt	353553
1995	2	1	bmt	648777
1995	3	1	bmt	618748
1995	4	1	bmt	588303
1996	1	1	bmt	692568
1996	2	1	bmt	1324540
1996	3	1	bmt	745484
1996	4	1	bmt	678594
1997	1	1	bmt	1240050
1997	2	1	bmt	1541910
1997	3	1	bmt	878625
1997	4	1	bmt	922402
1998	1	1	bmt	1280190
1998	2	1	bmt	1346690
1998	3	1	bmt	770114
1998	4	1	bmt	664523
1999	1	1	bmt	1597200
1999	2	1	bmt	2716070
1999	3	1	bmt	754214
1999	4	1	bmt	1305860
2000	1	1	bmt	1786950
2000	2	1	bmt	2525460
2000	3	1	bmt	612326
2000	4	1	bmt	1605210
2001	1	1	bmt	2281960
2001	2	1	bmt	1772940
2001	3	1	bmt	821501
2001	4	1	bmt	1614200
2002	1	1	bmt	1762030
2002	2	1	bmt	2137670
2002	3	1	bmt	975032
2002	4	1	bmt	2475450
2003	1	1	bmt	3008220
2003	2	1	bmt	4052990
2003	3	1	bmt	1970930
2003	4	1	bmt	1731960
2004	1	1	bmt	2643710
2004	2	1	bmt	3431620
2004	3	1	bmt	2282010
2004	4	1	bmt	2449020
2005	1	1	bmt	3365810
2005	2	1	bmt	3794700
2005	3	1	bmt	2756040
2005	4	1	bmt	2587280
2006	1	1	bmt	3134300
2006	2	1	bmt	3007130
2006	3	1	bmt	2782950
2006	4	1	bmt	2342910
2007	1	1	bmt	3357110
2007	2	1	bmt	2916690
2007	3	1	bmt	3501390
2007	4	1	bmt	2791900
2008	1	1	bmt	2993380
2008	2	1	bmt	3083150
2008	3	1	bmt	3357280
2008	4	1	bmt	2947930
2009	1	1	bmt	2543880
2009	2	1	bmt	2776770
2009	3	1	bmt	2724020
2009	4	1	bmt	2356080
2010	1	1	bmt	1721920
2010	2	1	bmt	2265610
2010	3	1	bmt	3412300
2010	4	1	bmt	2041220
2011	1	1	bmt	1531380
2011	2	1	bmt	2777910
2011	3	1	bmt	1991990
2011	4	1	bmt	1669370
2012	1	1	bmt	1365300
2012	2	1	bmt	2000960
2012	3	1	bmt	1259840
2012	4	1	bmt	2104480
2013	1	1	bmt	1010220
2013	2	1	bmt	1875710
2013	3	1	bmt	1184410
2013	4	1	bmt	1087640
2014	1	1	bmt	649245
2014	2	1	bmt	2090220
2014	3	1	bmt	1042900
2014	4	1	bmt	868591
2015	1	1	bmt	674220
2015	2	1	bmt	2536750
2015	3	1	bmt	1063810
2015	4	1	bmt	1002460
2016	1	1	bmt	563856
2016	2	1	bmt	2415920
2016	3	1	bmt	861433
2016	4	1	bmt	1087580
2017	1	1	bmt	449858
2017	2	1	bmt	2316450
2017	3	1	bmt	927904
2017	4	1	bmt	678608
2018	1	1	bmt	821120
2018	2	1	bmt	2997810
2018	3	1	bmt	1062860
2018	4	1	bmt	558228
