; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
2014	1	1	foreign	1030
2014	2	1	foreign	17984
2014	3	1	foreign	18232
2014	4	1	foreign	516
2015	1	1	foreign	806
2015	2	1	foreign	20384
2015	3	1	foreign	9131
2015	4	1	foreign	2468
2016	1	1	foreign	6248
2016	2	1	foreign	49364
2016	3	1	foreign	9247
2016	4	1	foreign	254
2017	1	1	foreign	7552
2017	2	1	foreign	20117
2017	3	1	foreign	3453
2017	4	1	foreign	155
2018	1	1	foreign	24647
2018	2	1	foreign	12546
2018	3	1	foreign	566
2018	4	1	foreign	13
