; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1982	1	1	gil	87
1982	2	1	gil	1758.87
1982	3	1	gil	1557.21
1982	4	1	gil	248.664
1983	1	1	gil	1120.44
1983	2	1	gil	13006.8
1983	3	1	gil	877.769
1983	4	1	gil	59.5551
1984	1	1	gil	1427.1
1984	2	1	gil	2339.1
1984	3	1	gil	153.332
1984	4	1	gil	297.666
1985	1	1	gil	3763.44
1985	2	1	gil	6424.73
1985	3	1	gil	4802.17
1985	4	1	gil	288.109
1986	1	1	gil	16179.1
1986	2	1	gil	17384.2
1986	3	1	gil	471.106
1986	4	1	gil	261.221
1987	1	1	gil	10174.3
1987	2	1	gil	15133.2
1987	3	1	gil	11523.2
1987	4	1	gil	357.22
1988	1	1	gil	20265.5
1988	2	1	gil	27682.5
1988	3	1	gil	6593.04
1988	4	1	gil	495.443
1989	1	1	gil	12459.1
1989	2	1	gil	34486.1
1989	3	1	gil	11816.5
1989	4	1	gil	3018.97
1990	1	1	gil	58685.5
1990	2	1	gil	81039.4
1990	3	1	gil	6136.38
1990	4	1	gil	8523.15
1991	1	1	gil	45530
1991	2	1	gil	84356
1991	3	1	gil	3855
1991	4	1	gil	836
1992	1	1	gil	55389
1992	2	1	gil	48345
1992	3	1	gil	3561
1992	4	1	gil	2768
1993	1	1	gil	115152
1993	2	1	gil	58001
1993	3	1	gil	18659
1993	4	1	gil	3416
1994	1	1	gil	21376
1994	2	1	gil	38119
1994	3	1	gil	14081
1994	4	1	gil	1304
1995	1	1	gil	9879
1995	2	1	gil	46978
1995	3	1	gil	9726
1995	4	1	gil	1042
1996	1	1	gil	40006
1996	2	1	gil	48595
1996	3	1	gil	13457
1996	4	1	gil	4521
1997	1	1	gil	6437
1997	2	1	gil	54440
1997	3	1	gil	12813
1997	4	1	gil	2182
1998	1	1	gil	15930
1998	2	1	gil	36083
1998	3	1	gil	22641
1998	4	1	gil	3554
1999	1	1	gil	26418
1999	2	1	gil	28597
1999	3	1	gil	13118
1999	4	1	gil	4685
2000	1	1	gil	30309
2000	2	1	gil	68006
2000	3	1	gil	13571
2000	4	1	gil	3475
2001	1	1	gil	30442
2001	2	1	gil	65071
2001	3	1	gil	38962
2001	4	1	gil	4295
2002	1	1	gil	29933
2002	2	1	gil	56705
2002	3	1	gil	8723
2002	4	1	gil	4440
2003	1	1	gil	42201
2003	2	1	gil	36636
2003	3	1	gil	17735
2003	4	1	gil	3412
2004	1	1	gil	43674
2004	2	1	gil	23721
2004	3	1	gil	14090
2004	4	1	gil	2253
2005	1	1	gil	49706
2005	2	1	gil	17950
2005	3	1	gil	11138
2005	4	1	gil	2550
2006	1	1	gil	36649
2006	2	1	gil	8881
2006	3	1	gil	8073
2006	4	1	gil	1887
2007	1	1	gil	33684
2007	2	1	gil	36855
2007	3	1	gil	14564
2007	4	1	gil	1252
2008	1	1	gil	22861
2008	2	1	gil	13746
2008	3	1	gil	11859
2008	4	1	gil	821
2009	1	1	gil	19484
2009	2	1	gil	10604
2009	3	1	gil	3308
2009	4	1	gil	737
2010	1	1	gil	11909
2010	2	1	gil	11146
2010	3	1	gil	4936
2010	4	1	gil	920
2011	1	1	gil	7537
2011	2	1	gil	13111
2011	3	1	gil	1974
2011	4	1	gil	619
2012	1	1	gil	5289
2012	2	1	gil	15166
2012	3	1	gil	2843
2012	4	1	gil	364
2013	1	1	gil	4681
2013	2	1	gil	7274
2013	3	1	gil	2980
2013	4	1	gil	566
2014	1	1	gil	3712
2014	2	1	gil	10580
2014	3	1	gil	612
2014	4	1	gil	414
2015	1	1	gil	4163
2015	2	1	gil	6594
2015	3	1	gil	1666
2015	4	1	gil	349
2016	1	1	gil	3181
2016	2	1	gil	13804
2016	3	1	gil	685
2016	4	1	gil	278
2017	1	1	gil	4209
2017	2	1	gil	6540
2017	3	1	gil	1375
2017	4	1	gil	178
2018	1	1	gil	2014
2018	2	1	gil	4137
2018	3	1	gil	982
2018	4	1	gil	87
