; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1982	1	1	lln	973936
1982	2	1	lln	2196890
1982	3	1	lln	329037
1982	4	1	lln	235625
1983	1	1	lln	2577800
1983	2	1	lln	3666760
1983	3	1	lln	289893
1983	4	1	lln	106898
1984	1	1	lln	1854040
1984	2	1	lln	2883860
1984	3	1	lln	127555
1984	4	1	lln	139308
1985	1	1	lln	1390950
1985	2	1	lln	2890400
1985	3	1	lln	198063
1985	4	1	lln	154077
1986	1	1	lln	2221150
1986	2	1	lln	2856220
1986	3	1	lln	263108
1986	4	1	lln	146100
1987	1	1	lln	1592800
1987	2	1	lln	4307960
1987	3	1	lln	221133
1987	4	1	lln	210463
1988	1	1	lln	3489040
1988	2	1	lln	3264600
1988	3	1	lln	360518
1988	4	1	lln	346142
1989	1	1	lln	1993970
1989	2	1	lln	3966080
1989	3	1	lln	485305
1989	4	1	lln	489757
1990	1	1	lln	3388140
1990	2	1	lln	4661000
1990	3	1	lln	445349
1990	4	1	lln	398031
1991	1	1	lln	2657350
1991	2	1	lln	7649500
1991	3	1	lln	300395
1991	4	1	lln	267130
1992	1	1	lln	3059940
1992	2	1	lln	5303280
1992	3	1	lln	586367
1992	4	1	lln	468595
1993	1	1	lln	1655160
1993	2	1	lln	3973370
1993	3	1	lln	949139
1993	4	1	lln	584972
1994	1	1	lln	2629680
1994	2	1	lln	4967120
1994	3	1	lln	612548
1994	4	1	lln	480988
1995	1	1	lln	2698160
1995	2	1	lln	5263700
1995	3	1	lln	612132
1995	4	1	lln	502222
1996	1	1	lln	6496620
1996	2	1	lln	3929750
1996	3	1	lln	496253
1996	4	1	lln	314991
1997	1	1	lln	2316350
1997	2	1	lln	4363110
1997	3	1	lln	519034
1997	4	1	lln	348536
1998	1	1	lln	2370860
1998	2	1	lln	4205600
1998	3	1	lln	1063480
1998	4	1	lln	450971
1999	1	1	lln	2979380
1999	2	1	lln	3762650
1999	3	1	lln	1745530
1999	4	1	lln	530200
2000	1	1	lln	2356740
2000	2	1	lln	5742800
2000	3	1	lln	1371700
2000	4	1	lln	575641
2001	1	1	lln	3737250
2001	2	1	lln	6532350
2001	3	1	lln	2007730
2001	4	1	lln	453762
2002	1	1	lln	2715220
2002	2	1	lln	4814440
2002	3	1	lln	1014070
2002	4	1	lln	410364
2003	1	1	lln	2545020
2003	2	1	lln	5007860
2003	3	1	lln	1034230
2003	4	1	lln	380290
2004	1	1	lln	2128880
2004	2	1	lln	2679940
2004	3	1	lln	750669
2004	4	1	lln	197895
2005	1	1	lln	2536860
2005	2	1	lln	2787840
2005	3	1	lln	719586
2005	4	1	lln	334877
2006	1	1	lln	2563500
2006	2	1	lln	3708060
2006	3	1	lln	1346540
2006	4	1	lln	353070
2007	1	1	lln	1999280
2007	2	1	lln	3227640
2007	3	1	lln	1097700
2007	4	1	lln	339767
2008	1	1	lln	1309200
2008	2	1	lln	3593560
2008	3	1	lln	763656
2008	4	1	lln	163387
2009	1	1	lln	2591990
2009	2	1	lln	3916580
2009	3	1	lln	1058710
2009	4	1	lln	351858
2010	1	1	lln	2324710
2010	2	1	lln	3326960
2010	3	1	lln	1094300
2010	4	1	lln	204488
2011	1	1	lln	1951420
2011	2	1	lln	3136770
2011	3	1	lln	920519
2011	4	1	lln	110277
2012	1	1	lln	2017690
2012	2	1	lln	3663030
2012	3	1	lln	436217
2012	4	1	lln	116543
2013	1	1	lln	1899820
2013	2	1	lln	3034780
2013	3	1	lln	524855
2013	4	1	lln	111695
2014	1	1	lln	1758910
2014	2	1	lln	2094850
2014	3	1	lln	508850
2014	4	1	lln	114923
2015	1	1	lln	1837180
2015	2	1	lln	2033480
2015	3	1	lln	805854
2015	4	1	lln	180894
2016	1	1	lln	2280700
2016	2	1	lln	2551220
2016	3	1	lln	723188
2016	4	1	lln	71059
2017	1	1	lln	1690330
2017	2	1	lln	2346820
2017	3	1	lln	491100
2017	4	1	lln	103643
2018	1	1	lln	2071140
2018	2	1	lln	2923650
2018	3	1	lln	597351
2018	4	1	lln	98862
