Year,Faroes,Germany,Iceland,Norway,UK,Total
1973,74,1678,548,6,61,2367
1974,34,1959,331,140,32,2496
1975,69,1418,434,366,89,2376
1976,29,1222,624,135,28,2038
1977,39,1253,700,317,0,2309
1978,38,0,1237,156,0,1431
1979,85,0,2019,98,0,2202
1980,183,0,8133,83,0,8399
1981,220,0,7952,229,0,8401
1982,224,0,5945,64,0,6233
1983,1195,0,5117,402,0,6714
1984,353,0,3122,31,0,3506
1985,59,0,1407,7,0,1473
1986,69,0,1774,8,0,1851
1987,75,0,1693,8,0,1776
1988,271,0,1093,7,0,1371
1989,403,0,2124,5,0,2532
1990,1029,0,1992,0,0,3021
1991,241,0,1582,0,0,1823
1992,321,0,2584,0,0,2905
1993,40,0,2193,0,0,2233
1994,89,1,1542,0,0,1632
1995,113,3,1519,0,0,1635
1996,36,3,1284,0,0,1323
1997,25,0,1319,0,0,1344
1998,59,9,1086,0,0,1154
1999,31,8,1525,8,11,1583
2000,0,7,1605,25,8,1645
2001,95,12,752,49,23,931
2002,28,4,1256,74,10,1372
2003,16,16,1098,6,24,1160
2004,38,9,1083,49,20,1199
2005,24,25,1497,20,26,1592
2006,63,22,1734,27,9,1855
2007,78,0,1999,4,10,2091
2008,88,0,3653,21,0,3762
2009,178,0,4132,5,0,4315
2010,515,0,6377,13,0,6905
2011,797,0,5903,2,0,6702
2012,312,0,4207,2,0,4521
2013,435,0,2769,2,0,3204
2014,71,0,1588,30,0,1689
2015,10,0,1744,4,0,1758
2016*,0,0,925,0,0,925
