Year,Belgium,Faroes,France,Germany,Iceland,Norway,UK,Total
1973,1080,984,0,586,3564,418,829,7461
1974,681,890,0,486,3868,318,532,6775
1975,736,732,23,375,3748,522,562,6698
1976,431,498,0,404,4538,502,268,6641
1977,442,613,0,254,3433,506,0,5248
1978,541,534,0,0,3439,484,0,4998
1979,508,536,0,0,3759,399,0,5202
1980,445,607,0,0,3149,423,0,4624
1981,196,489,0,0,3348,415,0,4448
1982,116,524,0,0,3738,612,0,4990
1983,128,644,0,0,4236,115,0,5123
1984,103,450,0,0,3306,21,0,3880
1985,59,384,0,0,2989,17,0,3449
1986,88,556,0,0,2948,4,0,3596
1987,157,657,0,0,4154,6,0,4974
1988,134,619,0,0,5083,10,0,5846
1989,95,614,0,0,4833,5,0,5547
1990,42,399,0,0,5121,0,0,5562
1991,69,530,0,0,5187,0,0,5786
1992,34,526,0,0,4529,0,0,5089
1993,20,501,0,0,4322,0,0,4843
1994,3,548,0,0,4054,0,0,4605
1995,0,463,0,0,3733,0,0,4196
1996,0,358,0,0,3671,20,0,4049
1997,0,299,0,0,3635,0,0,3934
1998,0,699,0,0,3604,0,0,4303
1999,0,500,0,0,3972,120,1,4593
2000,0,0,0,0,3218,67,3,3288
2001,0,362,0,2,2870,116,1,3351
2002,0,1629,0,0,2840,45,0,4514
2003,0,565,0,2,3599,108,5,4279
2004,0,739,0,1,3742,139,0,4621
2005,0,682,0,1,4312,180,20,5195
2006,0,960,0,1,6312,158,0,7431
2007,0,807,0,0,6627,185,0,7619
2008,0,1366,0,0,7737,176,0,9279
2009,0,1157,0,0,9619,172,0,10948
2010,0,1095,0,0,9887,168,0,11150
2011,0,588,0,0,8813,249,0,9650
2012,0,875,0,0,10706,248,0,11829
2013,0,1030,0,0,10212,294,0,11536
2014,0,1738,0,0,12450,158,0,14246
2015,0,1233,0,0,11553,250,0,13036
2016*,0,1072,0,0,8582,230,0,9884
