"year","biomass","harvBio","SSB","Fbar","Catch","Rec","a.yr"
1982,16.219,16.219,17.377,0.319,4.99,7.592,2017
1983,12.602,12.602,14.07,0.419,5.123,0.07,2017
1984,10.394,10.394,10.754,0.378,3.88,3.426,2017
1985,10.926,10.926,11.123,0.316,3.449,3.81,2017
1986,12.478,12.478,11.87,0.291,3.596,1.755,2017
1987,14.022,14.022,13.027,0.361,4.974,1.957,2017
1988,13.957,13.957,13.48,0.43,5.846,2.93,2017
1989,13.553,13.553,12.837,0.425,5.547,4.633,2017
1990,12.184,12.184,12.212,0.464,5.562,4.222,2017
1991,11.047,11.047,11.006,0.533,5.786,0.657,2017
1992,10.613,10.613,10.569,0.484,5.089,3.467,2017
1993,11.326,11.326,11.282,0.436,4.843,1.617,2017
1994,12.122,12.122,11.341,0.387,4.605,2.334,2017
1995,12.423,12.423,11.725,0.339,4.196,2.963,2017
1996,12.619,12.619,12.099,0.323,4.049,2.269,2017
1997,13.048,13.048,12.449,0.304,3.934,2.067,2017
1998,13.343,13.343,12.982,0.329,4.303,1.954,2017
1999,12.818,12.818,12.873,0.358,4.593,3.019,2017
2000,12.889,12.889,12.582,0.256,3.288,2.959,2017
2001,13.621,13.621,13.115,0.246,3.351,4.313,2017
2002,14.433,14.433,13.964,0.315,4.514,3.396,2017
2003,14.714,14.714,14.184,0.29,4.279,4.684,2017
2004,15.465,15.465,15.241,0.295,4.621,5.654,2017
2005,16.803,16.803,16.338,0.31,5.195,7.12,2017
2006,17.738,17.738,17.591,0.422,7.433,6.49,2017
2007,18.025,18.025,17.859,0.425,7.619,10.403,2017
2008,19.224,19.224,19.133,0.484,9.279,9.919,2017
2009,19.652,19.652,19.97,0.557,10.948,12.831,2017
2010,20.937,20.937,21.093,0.524,11.15,13.591,2017
2011,24.169,24.169,23.66,0.39,9.65,8.384,2017
2012,30.682,30.682,29.655,0.38,11.829,4.933,2017
2013,37.268,37.268,36.236,0.308,11.536,2.803,2017
2014,44.158,44.158,42.796,0.323,14.246,1.35,2017
2015,47.065,47.065,45.254,0.279,13.036,2.98,2017
2016,47.782,47.782,45.531,0.209,9.884,3.391,2017
2017,47.765,47.765,45.631,NA,8.765541,3.075,2017
