"yr","karfi","djupkarfi","graluda","langa","blalanga","annad.total"
1997,1.4,79,0,6.9,7.2,5.5
1998,5.3,77.9,0,3.6,6.4,6.8
1999,4,79.9,0,2.5,5.9,7.6
2000,4.8,71,0.2,0.3,9.7,14.1
2001,22.4,55.4,4.5,0.5,0.9,16.3
2002,16.9,74.2,0.4,1.2,4,3.2
2003,37.7,52,0.4,0.1,5.1,4.7
2004,25.1,68.4,0.7,0.1,0.9,4.8
2005,15.6,69.5,4.3,1.4,3,6.2
2006,28.8,59.8,1.4,0.9,1,8.1
2007,12.1,70.9,5.9,0.3,6.1,4.6
2008,26.7,60.8,2.8,1.2,5,3.4
2009,20.9,63.7,3.3,0.2,7.9,4.1
2010,16,63.7,2,0.9,6.4,11.1
2011,13.4,66.3,2.2,0.4,4.8,12.9
2012,8.9,67.5,1.3,0.2,7.5,14.5
2013,9.6,63.8,4.7,0.2,9,12.8
2014,2.4,78.3,2.8,0.3,5.5,10.7
2015,13.1,66.1,4.9,0.2,4.2,11.4
2016,10.9,73.5,5.5,0.2,2.8,7.1
2017,2.9,85.6,1.6,0.2,2.9,6.8
