Year	Rec	SSB	Catch	HR	B75
1982	6475	17432	4990	0.308	16779
1983	873	14629	5123	0.398	13263
1984	2724	11189	3880	0.361	10912
1985	4051	11171	3449	0.313	11091
1986	1605	11720	3596	0.296	12275
1987	2131	12499	4974	0.376	13517
1988	2615	12907	5846	0.454	13261
1989	4625	12058	5547	0.454	12744
1990	3912	11316	5562	0.502	11305
1991	1197	10109	5786	0.583	10117
1992	3163	9627	5089	0.534	9639
1993	1823	10240	4843	0.467	10299
1994	2319	10410	4605	0.371	11210
1995	3014	11206	4196	0.332	11962
1996	2185	11824	4049	0.33	12406
1997	2111	12252	3934	0.304	12941
1998	1969	12927	4303	0.332	13384
1999	2909	12916	4593	0.357	12926
2000	2841	12651	3288	0.251	13054
2001	4234	13282	3351	0.243	13855
2002	3308	14175	4514	0.31	14717
2003	4423	14410	4279	0.284	15025
2004	5268	15499	4621	0.29	15801
2005	6837	16601	5195	0.304	17135
2006	6188	17801	7433	0.416	18008
2007	9724	17927	7619	0.422	18159
2008	9134	19045	9279	0.486	19172
2009	10829	19674	10948	0.566	19365
2010	11398	20511	11150	0.541	20314
2011	7546	22565	9650	0.412	22918
2012	5075	27417	11829	0.415	28189
2013	2797	32152	11536	0.35	32779
2014	3056	36594	14246	0.384	37276
2015	2554	37142	13036	0.346	38034
2016	3198	35851	9884	0.268	37296
2017	3853	35292	8766	0.242	36761
2018	5442	34205			34748
