"ad.year","trial","F","refbio","ssb","totalbio","catch","rec","hr"
"1981/1982",0,0.3941511,15299245.4291626,15380822.3235052,18397839.6489623,3886229.2,7025896.2,0.358050431914235
"1981/1982",1,0.3941511,15299245.4291626,15380822.3235052,18397839.6489623,3886229.2,7025896.2,0.358050431914235
"1982/1983",0,0.5070263075,12328868.9901786,12775451.8744861,17785989.6538896,5409656.9,28.881101,0.463447295026487
"1982/1983",1,0.5070263075,12328868.9901786,12775451.8744861,17785989.6538896,5409656.9,28.881101,0.463447295026487
"1983/1984",0,0.48519375,9552836.7223952,9617778.68353815,15994013.8657137,3977643.95,3791626.5,0.426868858886045
"1983/1984",1,0.48519375,9552836.7223952,9617778.68353815,15994013.8657137,3977643.95,3791626.5,0.426868858886045
"1984/1985",0,0.43975615,9107474.39071428,9810567.00500025,16629028.3150331,3405298.7,3301351,0.365180023589405
"1984/1985",1,0.43975615,9107474.39071428,9810567.00500025,16629028.3150331,3405298.7,3301351,0.365180023589405
"1985/1986",0,0.489179975,10445453.6763485,10390360.526319,18144415.8484736,3778508.2,1844443.9,0.356024586111005
"1985/1986",1,0.489179975,10445453.6763485,10390360.526319,18144415.8484736,3778508.2,1844443.9,0.356024586111005
"1986/1987",0,0.5334488325,11917016.4007238,11519268.58414,19364735.3874417,4382641.7,2167950.8,0.364992268346757
"1986/1987",1,0.5334488325,11917016.4007238,11519268.58414,19364735.3874417,4382641.7,2167950.8,0.364992268346757
"1987/1988",0,0.7744844625,12240628.1027314,11958007.8204678,19173263.1867315,5951348.5,2842932.7,0.494312104713927
"1987/1988",1,0.7744844625,12240628.1027314,11958007.8204678,19173263.1867315,5951348.5,2842932.7,0.494312104713927
"1988/1989",0,0.8142790775,11590877.5559573,11207858.2299552,18087137.6033004,5416292.8,4496744.4,0.471445393707907
"1988/1989",1,0.8142790775,11590877.5559573,11207858.2299552,18087137.6033004,5416292.8,4496744.4,0.471445393707907
"1989/1990",0,0.7729719825,10765985.8209618,10575373.7986257,17890882.7014356,5324888.5,3532378.4,0.506414011822043
"1989/1990",1,0.7729719825,10765985.8209618,10575373.7986257,17890882.7014356,5324888.5,3532378.4,0.506414011822043
"1990/1991",0,0.863871775,9690448.48436651,9473508.25166304,17776469.6826508,5875845.2,1342141.1,0.620145309679362
"1990/1991",1,0.863871775,9690448.48436651,9473508.25166304,17776469.6826508,5875845.2,1342141.1,0.620145309679362
"1991/1992",0,0.89233532,8789603.77629026,9044717.53411232,16799640.9127289,5343428,2864271.3,0.607613501171471
"1991/1992",1,0.89233532,8789603.77629026,9044717.53411232,16799640.9127289,5343428,2864271.3,0.607613501171471
