"ar","gear","c"
1996,"Bottom trawl",980.022
2015,"Bottom trawl",1911.182
2016,"Bottom trawl",1824.762
2002,"Bottom trawl",663.871
2007,"Bottom trawl",1394.953
1995,"Bottom trawl",895.222
2004,"Bottom trawl",656.472
2001,"Bottom trawl",493.249
1998,"Bottom trawl",849.607
1999,"Bottom trawl",808.853
2008,"Bottom trawl",1509.156
2009,"Bottom trawl",1539.697
1997,"Bottom trawl",892.873
2010,"Bottom trawl",1537.502
2012,"Bottom trawl",1396.123
1993,"Bottom trawl",947.34
2000,"Bottom trawl",726.003
2013,"Bottom trawl",1610.385
2005,"Bottom trawl",988.635
2006,"Bottom trawl",1246.078
2017,"Bottom trawl",1524.941
2014,"Bottom trawl",1707.349
2011,"Bottom trawl",1676.032
1994,"Bottom trawl",859.121
2003,"Bottom trawl",582.918
2000,"Gill nets",704.242
2011,"Gill nets",222.061
2016,"Gill nets",680.794
2002,"Gill nets",647.792
2007,"Gill nets",632.688
2012,"Gill nets",244.751
2006,"Gill nets",629.351
2017,"Gill nets",555.647
2009,"Gill nets",723.179
2013,"Gill nets",345.342
2015,"Gill nets",650.29
1995,"Gill nets",824.454
1998,"Gill nets",718.002
2004,"Gill nets",545.482
2001,"Gill nets",1061.278
2008,"Gill nets",476.723
2010,"Gill nets",363.38
2014,"Gill nets",673.313
1996,"Gill nets",752.835
2005,"Gill nets",501.442
1993,"Gill nets",1370.357
1997,"Gill nets",620.922
2003,"Gill nets",454.124
1994,"Gill nets",1285.098
1999,"Gill nets",681.519
2000,"Longlines",1540.084
2001,"Longlines",1101.028
2009,"Longlines",6231.684
1993,"Longlines",867.854
1994,"Longlines",965.421
2004,"Longlines",2016.752
2003,"Longlines",2215.4
2015,"Longlines",9248.847
1998,"Longlines",1730.46
1999,"Longlines",2160.365
2002,"Longlines",1283.03
2012,"Longlines",7479
2005,"Longlines",2046.471
2008,"Longlines",5007.085
2017,"Longlines",5975.469
2014,"Longlines",10623.909
2013,"Longlines",6836.021
2011,"Longlines",5594.552
2016,"Longlines",6544.698
2006,"Longlines",3734.086
1996,"Longlines",1473.71
1997,"Longlines",1648.825
1995,"Longlines",1333.034
2007,"Longlines",4041.987
2010,"Longlines",6531.824
2000,"Other",243.777
2003,"Other",337.115
2009,"Other",1121.341
2010,"Other",1435.714
2015,"Other",1224.895
2001,"Other",225.297
1993,"Other",339.421
1994,"Other",453.659
1995,"Other",499.287
1996,"Other",540.806
2007,"Other",528.929
2016,"Other",833.672
1999,"Other",352.586
2005,"Other",778.502
2012,"Other",1574.843
1998,"Other",396.5
2017,"Other",709.477
2006,"Other",675.621
2008,"Other",747.845
2002,"Other",250.143
2013,"Other",1465.122
2011,"Other",1296.525
2014,"Other",1241.501
1997,"Other",444.089
2004,"Other",507.97
