"Year","Rec","SSB","B75+","Catch","HR"
1982,6475,17432,16779,4990,0.308
1983,873,14629,13263,5123,0.398
1984,2724,11189,10912,3880,0.361
1985,4051,11171,11091,3449,0.313
1986,1605,11720,12275,3596,0.296
1987,2131,12499,13517,4974,0.376
1988,2615,12907,13261,5846,0.454
1989,4625,12058,12744,5547,0.454
1990,3912,11316,11305,5562,0.502
1991,1197,10109,10117,5786,0.583
1992,3163,9627,9639,5089,0.534
1993,1823,10240,10299,4843,0.467
1994,2319,10410,11210,4605,0.371
1995,3014,11206,11962,4196,0.332
1996,2185,11824,12406,4049,0.33
1997,2111,12252,12941,3934,0.304
1998,1969,12927,13384,4303,0.332
1999,2909,12916,12926,4593,0.357
2000,2841,12651,13054,3288,0.251
2001,4234,13282,13855,3351,0.243
2002,3308,14175,14717,4514,0.31
2003,4423,14410,15025,4279,0.284
2004,5268,15499,15801,4621,0.29
2005,6837,16601,17135,5195,0.304
2006,6188,17801,18008,7433,0.416
2007,9724,17927,18159,7619,0.422
2008,9134,19045,19172,9279,0.486
2009,10829,19674,19365,10948,0.566
2010,11398,20511,20314,11150,0.541
2011,7546,22565,22918,9650,0.412
2012,5075,27417,28189,11829,0.415
2013,2797,32152,32779,11536,0.35
2014,3056,36594,37276,14246,0.384
2015,2554,37142,38034,13036,0.346
2016,3198,35851,37296,9884,0.268
2017,3853,35292,36761,8766,0.242
2018,5442,34205,34748,NA,NA
