"ad.year","trial","F","refbio","ssb","totalbio","catch","rec","hr"
"1981/1982",0,0.213652143333333,32019099.2570688,21654848.9094056,40180049.184132,3831141,12226276,0.158425759228238
"1981/1982",1,0.213652143333333,32019099.2570688,21654848.9094056,40180049.184132,3831141,12226276,0.158425759228238
"1982/1983",0,0.337338165,32748796.9517016,21201454.3768506,41188432.1645572,7979396,8569485,0.245523130772939
"1982/1983",1,0.337338165,32748796.9517016,21201454.3768506,41188432.1645572,7979396,8569485,0.245523130772939
"1983/1984",0,0.2811499575,31402019.6269465,18503428.0787862,39640909.9384006,6400748,7533326.9,0.202291338815902
"1983/1984",1,0.2811499575,31402019.6269465,18503428.0787862,39640909.9384006,6400748,7533326.9,0.202291338815902
"1984/1985",0,0.2116439,33002591.1910515,17510799.0447032,40297814.254536,5060673,7152873.5,0.152786743110115
"1984/1985",1,0.2116439,33002591.1910515,17510799.0447032,40297814.254536,5060673,7152873.5,0.152786743110115
"1985/1986",0,0.20943123,35126567.4078327,17550447.2888474,41168127.4300904,5379416,2964165.4,0.153033348462498
"1985/1986",1,0.20943123,35126567.4078327,17550447.2888474,41168127.4300904,5379416,2964165.4,0.153033348462498
"1986/1987",0,0.1871629825,36218477.895015,17363019.7577881,41381622.3227384,5109269,6185484.6,0.140880312116782
"1986/1987",1,0.1871629825,36218477.895015,17363019.7577881,41381622.3227384,5109269,6185484.6,0.140880312116782
"1987/1988",0,0.2474476725,36070743.4982622,16982260.5829358,41125900.263156,6880140,10921912,0.191243943602581
"1987/1988",1,0.2474476725,36070743.4982622,16982260.5829358,41125900.263156,6880140,10921912,0.191243943602581
"1988/1989",0,0.2488049275,33831055.4249192,16077382.7048533,39679934.2394262,6683019,10643785,0.197543094028339
"1988/1989",1,0.2488049275,33831055.4249192,16077382.7048533,39679934.2394262,6683019,10643785,0.197543094028339
"1989/1990",0,0.2692774125,31187124.2696656,14644143.6918481,38279707.1334913,6742276,13240624,0.213804532788099
"1989/1990",1,0.2692774125,31187124.2696656,14644143.6918481,38279707.1334913,6742276,13240624,0.213804532788099
"1990/1991",0,0.4014507325,28857749.8950097,12658916.2847323,36887169.9049308,8884060,12733681,0.305700880339913
"1990/1991",1,0.4014507325,28857749.8950097,12658916.2847323,36887169.9049308,8884060,12733681,0.305700880339913
"1991/1992",0,0.4420166025,25909603.579806,10268461.6161547,34145531.0804226,8314760,7123010.9,0.31576116892526
"1991/1992",1,0.4420166025,25909603.579806,10268461.6161547,34145531.0804226,8314760,7123010.9,0.31576116892526
"1992/1993",0,0.4192300825,24490103.961729,8740994.882962,32124834.3021408,7080910,6771524.6,0.282670503443136
"1992/1993",1,0.4192300825,24490103.961729,8740994.882962,32124834.3021408,7080910,6771524.6,0.282670503443136
"1993/1994",0,0.31166491,25234914.8256364,8517288.72067892,31817137.4555467,5330367,6518788.7,0.208615913649706
"1993/1994",1,0.31166491,25234914.8256364,8517288.72067892,31817137.4555467,5330367,6518788.7,0.208615913649706
"1994/1995",0,0.3293649025,25846329.6710892,8790327.3310356,31355319.8706164,5821254,5440860.2,0.222685610243279
"1994/1995",1,0.3293649025,25846329.6710892,8790327.3310356,31355319.8706164,5821254,5440860.2,0.222685610243279
"1995/1996",0,0.4097161275,25337105.8999542,8801948.82505686,30135285.7227104,7271560,3025646.3,0.283158133871266
"1995/1996",1,0.4097161275,25337105.8999542,8801948.82505686,30135285.7227104,7271560,3025646.3,0.283158133871266
"1996/1997",0,0.301211815,24203769.7966632,8668074.5058782,28950961.7769569,5283594,8967759.2,0.217928865240404
"1996/1997",1,0.301211815,24203769.7966632,8668074.5058782,28950961.7769569,5283594,8967759.2,0.217928865240404
"1997/1998",0,0.314690915,23139129.9554688,8632514.18102542,28621043.9861387,5403458,14517594,0.233372990759335
"1997/1998",1,0.314690915,23139129.9554688,8632514.18102542,28621043.9861387,5403458,14517594,0.233372990759335
"1998/1999",0,0.44902442,22061015.9458829,8370022.75106752,28704330.3310053,7074060,11146556,0.328139654243384
"1998/1999",1,0.44902442,22061015.9458829,8370022.75106752,28704330.3310053,7074060,11146556,0.328139654243384
"1999/2000",0,0.3902992175,19494890.6431896,6890274.70821361,26920793.7075522,5426007,6713717.4,0.276089378307543
"1999/2000",1,0.3902992175,19494890.6431896,6890274.70821361,26920793.7075522,5426007,6713717.4,0.276089378307543
"2000/2001",0,0.3567185475,20071690.5976857,6464180.44951756,27559532.7119312,4830338,8749995.3,0.239455790294287
"2000/2001",1,0.3567185475,20071690.5976857,6464180.44951756,27559532.7119312,4830338,8749995.3,0.239455790294287
"2001/2002",0,0.3686025225,21491014.4924895,6623662.1715426,28853039.2070225,5208390,11440781,0.24026104964055
"2001/2002",1,0.3686025225,21491014.4924895,6623662.1715426,28853039.2070225,5208390,11440781,0.24026104964055
"2002/2003",0,0.3720317225,22124479.2465397,6876500.37179472,29802185.4168429,5411621,13115721,0.243315667475874
"2002/2003",1,0.3720317225,22124479.2465397,6876500.37179472,29802185.4168429,5411621,13115721,0.243315667475874
"2003/2004",0,0.32422859,22707337.1335712,7093820.21842715,31185548.881755,4924767,13152353,0.215314568838065
"2003/2004",1,0.32422859,22707337.1335712,7093820.21842715,31185548.881755,4924767,13152353,0.215314568838065
"2004/2005",0,0.31076956,24468906.768335,7548224.27826945,33863587.5240915,5138737,14779257,0.208734623130444
"2004/2005",1,0.31076956,24468906.768335,7548224.27826945,33863587.5240915,5138737,14779257,0.208734623130444
"2005/2006",0,0.3591393325,26764735.4902444,8138056.0045356,36887827.6435665,6389830,15050984,0.239214775043013
"2005/2006",1,0.3591393325,26764735.4902444,8138056.0045356,36887827.6435665,6389830,15050984,0.239214775043013
"2006/2007",0,0.4281069625,28165954.7749437,8366793.40253778,38774693.7488017,7851090,13731825,0.279111639254454
"2006/2007",1,0.4281069625,28165954.7749437,8366793.40253778,38774693.7488017,7851090,13731825,0.279111639254454
"2007/2008",0,0.4303343525,29195180.6253261,8418275.27215294,40023077.0547399,8012180,15107185,0.275180066433465
